"x";"y";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
19.5;47;52.09;72.25;22.67;57.85;177.63;98.39;54.56;63.25;147.93;33.82;62.33;80.93
19.6;47;51.45;75.01;21.22;57.62;172.13;105.8;56.83;61.64;145.96;33.33;59.63;82.55
19.7;47;50.92;77.46;19.08;58.76;159.91;101.27;60.46;57.81;148.6;35.56;56.64;83.64
19.8;47;50.69;78.23;18.88;58.35;159.63;100.32;61.27;57.5;145.28;33.94;54.99;84.18
19.9;47;50.97;77.33;18.84;59.9;162.62;99.17;60.53;60.42;141.22;31.92;53.91;85.29
20;47;51.15;77.4;18.73;59.58;165.73;106.76;61.16;65.69;135.82;28.34;52.76;86.07
20.1;47;50.47;78.92;18.53;59.15;161.68;101.04;65;64.58;130.46;27.47;52.59;86.39
20.2;47;51.9;79.9;19.35;61.89;166.09;100.53;70.49;60.24;124.68;26.15;53.71;88.96
20.3;47;52.07;75.37;18.44;60.38;158.65;95.21;66.11;64.78;115.53;26.32;53.96;90.25
20.4;47;51.34;73.13;20.15;62.26;153.72;90.81;63.98;71.62;107.84;26.35;55.2;93.66
20.5;47;50.83;70.41;21.7;68.03;152.11;86.68;61.71;74.27;104.78;26.8;57.17;96.42
20.6;47;51.3;68.05;21.83;69.65;152.47;82.71;60.22;74.47;103.2;27.52;60.13;100.4
20.7;47;51.33;66.7;24.39;78.04;150.46;82.44;60.11;74.2;95.58;28.22;63.01;101.02
20.8;47;51.99;65.7;24.4;80.13;149.49;82.2;59.65;75.86;95.97;28.54;67.3;105.42
20.9;47;51.45;59.32;23.94;77.13;142.53;81.22;64.16;83.81;91.53;28.41;68.2;105.53
21;47;52.1;56.63;21.36;74.44;137.4;75.91;75.91;94.37;87.8;28.59;70.63;107.39
19.5;46.9;51.63;74.81;20.87;60.32;169.46;104.02;53.68;58.12;149.8;33.55;60.9;82.99
19.6;46.9;49.98;80.27;19.54;59.14;161.5;98.14;60.69;54.99;156.19;37.46;59.12;84.37
19.7;46.9;50.74;82.77;19.56;59.44;163.69;91.05;61.82;53.41;153.24;36.84;55.86;83.48
19.8;46.9;50.8;82.31;19.41;59.6;162.7;92.17;62.58;54.12;149.49;35.53;54.77;84.2
19.9;46.9;52.48;79.13;19.67;60.62;161.97;98.54;62.21;56.67;141.17;33.37;55.45;88.34
20;46.9;53.18;79.27;19.69;60.69;160.04;102.91;63.63;60.83;138;31.84;55;89.33
20.1;46.9;54.15;79.09;19.52;60.6;157.69;100.63;65.43;61.57;132.4;31.05;54.48;89.4
20.2;46.9;54.34;77.67;20.08;61.08;159.11;94.98;67.79;57.07;128.28;29.81;55.72;90.95
20.3;46.9;54.24;73.87;19.91;59.26;156.24;93.09;64.7;59.86;124.09;29.46;56.03;91.76
20.4;46.9;53.22;70.95;22.26;64.27;152.96;89.69;61.43;65.81;115.96;28.22;57.42;93.36
20.5;46.9;51.48;67.88;23.18;74.25;153.12;88.77;59.77;70.85;105.33;29.64;59.73;96.17
20.6;46.9;51.18;66.61;23.82;75.92;151.88;86.78;58.73;71.86;106.36;30.14;62.33;99.51
20.7;46.9;50.73;65.25;25.56;79.29;150.43;86.33;58.22;74.77;105.25;30.6;65.32;102.57
20.8;46.9;50.4;64.13;26.11;81.32;148.07;85.85;57.8;78.37;100.95;31.33;69.97;107.18
20.9;46.9;50.15;64.05;31.8;93.18;145.8;92.99;57.42;86;97.49;31.16;77.33;112.89
21;46.9;52.98;58.75;28.38;85.7;138.74;87.37;66.84;92.09;94.99;32.31;77.14;108.67
19.5;46.8;54.15;77.59;19.9;62.55;177.15;109.83;55.18;56.39;149.38;34.48;60.88;82.06
19.6;46.8;54.74;78.02;20.17;59.3;172.71;99.34;67.32;56.27;146.19;36.58;59.43;84.67
19.7;46.8;55.43;78.66;20.19;59.6;170.88;98.4;68.67;56.1;144.05;36.81;58.77;86.74
19.8;46.8;55.3;79.1;20.38;60.25;168.15;97.99;68.36;54.93;144.69;37;57.94;87.17
19.9;46.8;55.38;78.9;20.53;63.06;159.46;101.5;60.82;56.3;143.38;35.22;57.96;90.51
20;46.8;56.26;78.54;20.62;60.84;158.77;103;63.77;55.18;138.31;35.46;56.92;90.97
20.1;46.8;56.74;79.07;20.52;61.31;154.11;95.6;65.67;52.75;134.4;34.42;56.61;92.06
20.2;46.8;56.65;76.28;20.86;60.22;154.5;92.71;65.24;54.06;131.67;33.89;57.77;93.02
20.3;46.8;56.51;72.2;21.1;58.61;154;92.72;62.44;54.9;129.08;33.08;58.37;92.99
20.4;46.8;56.94;70.05;22.18;63.86;153.43;88.41;59.11;59.24;117.95;32.25;59.63;96.69
20.5;46.8;55.79;69.65;25.86;78.59;148.54;87.83;60.83;66.75;108.25;35.75;62.08;98.24
20.6;46.8;54.81;67.31;27.49;82.41;147.58;87.45;59.33;69.71;103.92;34.87;64.58;101.06
20.7;46.8;52.45;62.67;25.66;77.53;151.67;86.77;55.1;74.78;112.12;33.08;68.28;106.61
20.8;46.8;52.23;60.54;26.51;79.49;149.09;83.24;53.91;78.41;112.98;33.47;70.26;107.85
20.9;46.8;54.62;60.27;27.81;81.28;144.3;90.91;53.37;82.05;100.39;34.64;74.83;109.19
21;46.8;55.09;59.03;27.78;81.68;139.66;90.21;52.53;87.75;95.84;35.99;76.59;109.05
19.5;46.7;55.9;76.54;20.3;61.5;180.89;103.33;65.98;54.81;147.97;39.03;61.98;80.59
19.6;46.7;56.52;77.23;20.6;59.4;177.73;98.76;73.53;56.76;144.8;39.68;60.81;82.69
19.7;46.7;56.97;77.32;20.76;60.16;173.41;99.58;71.71;55.27;141.07;39.63;60.36;85.45
19.8;46.7;57.61;77.1;20.53;61.2;166.1;102;68.04;53.3;140.98;40.4;59.61;88.93
19.9;46.7;57.43;74.71;21.58;61.96;157.34;104.67;62.65;50.61;138.8;39.24;59.05;91.13
20;46.7;57.44;75.35;21.86;60.42;156.28;101.02;63.72;50.25;137.2;39.52;58.14;92.15
20.1;46.7;56.84;76.57;21.65;59.29;153.98;97.36;65.2;53.23;133.27;39.16;57.77;94.6
20.2;46.7;59.62;74.96;21.76;61.59;151.11;96.65;63.16;51.68;129.49;37.72;58.99;96.07
20.3;46.7;59.47;71.51;21.49;59.81;153.14;93.22;59.91;52.5;122.46;36.62;60.58;97.35
20.4;46.7;59.57;73.25;24.52;78.76;146.92;86.77;62.29;63.53;117.31;38.54;62.32;99.77
20.5;46.7;60.83;64.22;27.44;58.72;149.07;88.18;59.27;59.32;115.72;35.66;65.85;99.71
20.6;46.7;61.31;59.13;28.96;57.59;144.94;86.19;57.26;62.96;108.5;35.23;69.06;97.96
20.7;46.7;59.55;59.53;28.68;62.62;147.79;87.49;55.48;67.86;110.65;36.64;70.55;103.54
20.8;46.7;59.02;56.05;24.42;63.37;148.07;82.95;47.2;72.8;109.13;36.49;70.84;104.83
20.9;46.7;61.07;54.3;23.92;65.17;143.91;83.59;47.13;77.82;100.7;38.36;72.76;104.62
21;46.7;61.28;53.5;23.89;65.78;140.91;86.54;48.66;82.32;93.48;38.7;72.62;104.61
19.5;46.6;58.58;74.69;20.11;60.81;186.23;107.7;73.37;54.09;144.57;39.25;61.84;80.21
19.6;46.6;59.23;75.74;20.6;60.7;187.79;99.94;75.19;55.56;143.57;41.16;62.41;81.8
19.7;46.6;59.76;76.01;20.77;61.42;176.08;104.41;72.87;52.81;138.19;41.97;61.06;86.34
19.8;46.6;60.44;75.03;21.18;60.47;172.85;102.63;75.68;55.09;135.5;43.08;60.95;88.78
19.9;46.6;60.66;75.03;21.35;60.52;169.68;99.88;76.49;53.43;135.23;43.32;60.2;91.5
20;46.6;58.9;74.28;21.92;58.98;152.9;101.74;64.93;48.5;132.07;43.2;58.54;92.22
20.1;46.6;60.04;74.14;22.36;59.65;152.18;99.69;64.99;48.83;130.05;42.04;59.04;93.91
20.2;46.6;58.8;70.86;22.21;57.68;149.66;97.15;62.07;49.46;124.38;40.71;59.83;97.39
20.3;46.6;56.71;68.76;22.12;58.24;154.3;96.61;60.4;51.6;122.11;41.67;61.1;97.37
20.4;46.6;56.84;65.39;22.31;56.32;156.98;96.94;57.86;53.59;117.96;41.03;61.87;92.9
20.5;46.6;54.8;64.44;26.13;54.54;152.45;102.36;57.5;58.47;114.28;40.63;68.5;99.46
20.6;46.6;63.75;60.93;22.5;54.82;148.31;88.14;47.92;60.62;109.19;38.88;66.71;102.03
20.7;46.6;63.67;59.91;22.52;56.36;151.84;91.64;44.85;62.97;107.59;39.84;69.15;106.46
20.8;46.6;62.22;57.63;22.72;59.55;147.75;90.08;44.22;69.99;100.29;39.28;68.76;104.57
20.9;46.6;62.55;55.76;22.1;59.62;147.45;92.38;42.83;73.45;94.95;40.05;69.32;102.55
21;46.6;63.55;54.34;21.75;60.32;144.66;92.77;42.7;77.81;90.62;41.19;69.64;102.47
19.5;46.5;63.34;73.57;19.83;60.04;190.96;110.52;81.31;55.4;148.57;41.68;62.56;82.71
19.6;46.5;66.2;72.85;20.92;61.26;195.23;113.23;80.86;57.13;140.58;42.95;64.11;86.7
19.7;46.5;64.96;71.09;21.64;60.85;192.87;107.07;83.47;57.93;134.93;43.58;63.71;86.8
19.8;46.5;62.62;72.45;22.27;59.48;171.06;109.03;73.33;53.3;127.18;45.17;61.33;89.62
19.9;46.5;61.08;73.73;22.01;57.92;161.16;105.56;72.28;49.96;121.67;46.36;59.61;89.12
20;46.5;66.3;70.58;22.52;59.61;170.95;103.04;79.24;55.11;124.66;44.59;61.09;93.64
20.1;46.5;62.43;70.25;22.58;59.01;149.64;102.41;64.19;48.78;121.2;45.66;60.31;96.33
20.2;46.5;62.58;68.7;21.41;61.41;146.96;92.07;63.46;47.35;124.24;45.67;60.51;100.79
20.3;46.5;62.06;67.27;21.54;56.3;150.64;97.24;58.71;51.01;115.1;43.82;61.33;98.65
20.4;46.5;55.9;64.35;20.88;54.09;155.24;99.59;57.04;53.18;110.35;44.07;61.79;96.55
20.5;46.5;56.48;62.59;20.99;52.43;154.93;94.81;53.26;54.6;107.07;42.44;62.05;100.41
20.6;46.5;61.58;61.28;20.26;52.38;151.04;93;49.43;57.99;104.38;41.42;63.6;102.19
20.7;46.5;65.68;59.07;20.77;52.03;153.21;93.51;42.71;63.79;101.91;41.3;65.92;106.01
20.8;46.5;63.59;57.24;20.83;54.28;149.1;93.7;43.68;70.18;93.99;40.23;65.26;100.31
20.9;46.5;63.79;56.72;20.45;54.8;151.32;97.8;42.35;73.59;88.85;40.99;65.63;99.53
21;46.5;64.34;56.88;21.17;54.51;148.62;101.44;39.63;71.95;84.4;42.43;65.55;99.92
19.5;46.4;69.23;73.32;18.92;60.26;207.21;114.04;92.56;54.84;145.57;43.81;63.13;78.22
19.6;46.4;66.81;73.67;19.78;61.33;207.74;114.36;91.13;54.01;143.12;46.67;63.83;82.55
19.7;46.4;67.67;73.14;20.45;60.49;203.81;105.33;90.06;54.34;132.92;44.94;62.81;83.6
19.8;46.4;72.29;71.67;21.62;59.39;185.69;108.1;88.88;55.66;123.98;48.5;62.19;92.9
19.9;46.4;66.96;70.72;22.33;57.89;178.54;106.35;83.22;55.29;118.13;46.72;61.98;89.05
20;46.4;67.35;69.45;22.82;57.52;163.33;108.94;71.38;50.63;111.47;48.29;61.8;92.91
20.1;46.4;64.4;68.37;22.44;55.99;151.66;109.17;62.82;47.86;105.65;48.43;60.5;93.32
20.2;46.4;64.61;67.35;21.5;55.21;150.97;106.4;61.23;49.15;106.43;47.28;60.64;95.01
20.3;46.4;62.52;65.95;20.86;53.71;150.99;102.65;58.6;50.18;106.06;46.26;59.86;96.75
20.4;46.4;62.52;62.91;20.61;51.79;150.25;94.85;51.28;54.48;101.6;43.37;59.38;97.24
20.5;46.4;63.43;61.54;20.19;50.41;151.88;94.81;48.87;57.06;98.35;42.43;59.48;97.4
20.6;46.4;62.5;59.78;19.78;49.34;153.45;92.61;45.28;59.67;94.92;40.94;59.26;98.19
20.7;46.4;64.2;58.61;19.41;50.01;149.38;94.85;45.7;66.14;91.3;41.1;59.64;97.64
20.8;46.4;63.91;58.36;19.2;48.69;153.18;102.55;44.85;66.84;87.17;41.26;61.23;97.03
20.9;46.4;64.16;59.04;20.67;50.58;151.93;106.78;44.23;69.8;82.22;41.01;61.67;97.7
21;46.4;63.53;59.93;21.36;52.77;150.16;104.42;42.39;75.04;78.26;41.24;61.11;96.96
19.5;46.3;71.37;71.08;19.42;60.9;206.47;117.75;92.62;55.39;142.99;45.42;64.65;82.76
19.6;46.3;73.7;70.21;20.39;59.23;208.59;120.05;98.08;58.97;139.6;45.97;65.1;87.2
19.7;46.3;73.9;70.79;20.52;57.17;207.32;106.27;101.15;61.59;129.37;47.25;63.99;85.08
19.8;46.3;72.34;71.05;20.88;55.99;196.56;102.27;101.92;62.84;110.84;48.17;63.15;82.17
19.9;46.3;67.93;69.51;21.77;55.83;179.76;109.93;80.45;54.26;106.18;47.92;61.77;87.12
20;46.3;67.53;70.23;24.5;54.51;167.91;133.95;69.36;47.78;97.74;49.69;58.4;91.98
20.1;46.3;64.78;70.1;22.46;52.03;155.97;118.39;62.93;52.32;96.38;49.72;59.34;87.96
20.2;46.3;63.85;66.87;20.6;52.85;148.52;107.63;61.64;58.29;98;47.05;55.77;90.4
20.3;46.3;62.78;64.01;19.82;51.44;148.01;101.58;58.4;61.5;96.54;45.32;55.87;92.67
20.4;46.3;60.86;61.12;19.38;49.06;146.68;95.15;46.99;67.03;92.29;42;54.4;92.17
20.5;46.3;62.07;60.03;19.3;47.84;147.77;93.27;45.85;62.19;90.39;41.02;55.02;94.37
20.6;46.3;63.67;60.8;19.08;46.39;150.53;104.93;50.11;64.43;86.87;42.77;55.44;95.8
20.7;46.3;64.65;59.2;19.18;44.52;150.97;104.93;50.3;64.21;81.19;43.06;54.84;94.34
20.8;46.3;64;60.59;20.11;45.5;153.03;121.68;50.34;66.28;79.26;42.85;55.39;96.21
20.9;46.3;64.54;60.93;20.54;47.09;153.46;122.04;46.27;66.32;75.31;42.27;56.28;96.64
21;46.3;61.41;59.72;18.75;50.4;156.22;128.98;37.78;63.85;68.96;42.08;57.89;93.38
19.5;46.2;72.69;68.53;19.57;61.09;200.5;115.66;87.97;55.75;140.77;46.24;66.45;84.01
19.6;46.2;72.59;68.57;19.69;58.85;204.09;108.97;89.95;56.9;132.83;46.81;66.3;84.97
19.7;46.2;71.61;66.84;20.06;58.39;206.32;105.57;86.01;56.3;123.54;47.7;65.72;82.42
19.8;46.2;74.37;63.61;21.22;59.75;210.42;105.53;80.03;54.6;129.96;46.16;67.68;79.9
19.9;46.2;66.86;68.03;19.87;54.01;168.65;107.01;71.52;53.76;94.47;45.45;60.59;82.58
20;46.2;65.04;67.93;19.53;53.69;155.94;112.76;60.66;53.97;88.11;44.32;56.78;83.28
20.1;46.2;63.44;64.98;20.36;50.63;149.21;113.8;59.45;47.87;86.87;47.74;56.92;83.53
20.2;46.2;59.87;65.34;18.46;50.47;147.81;111.88;58.05;58.27;89.17;45.02;52.3;88.12
20.3;46.2;60.71;60.7;17.57;50.13;143.35;105.86;58.05;60.11;89.58;45.6;49.62;88.38
20.4;46.2;62.57;62.09;18.77;47.36;141.59;96.23;46.73;72.11;85.32;41.09;49.26;88.29
20.5;46.2;61.11;59.28;18.83;44.92;142.46;102.27;48.61;65.4;77.31;41.96;49.73;88.36
20.6;46.2;63.4;57.97;18.81;44.45;144.02;103.35;44.52;67.88;77.13;40.59;50.98;90.73
20.7;46.2;64.5;57.61;20.29;43.01;146.1;110.12;50.51;68.52;73.25;43.22;49.55;90.45
20.8;46.2;65.36;60.28;21.64;49.26;52.87;9.62;36.51;75.46;75.95;40.34;52.26;93.22
20.9;46.2;64.13;62.24;22.29;48.72;51.69;8.99;38.4;72.61;70.19;40.91;50.65;94.27
21;46.2;63.28;64.02;22.89;48.81;48.63;11.41;39.56;74.44;66.61;41.34;50.72;94.81
19.5;46.1;70.09;67.55;19.47;65.36;184.19;116.01;90.6;58.83;117.44;51.86;66.93;82.98
19.6;46.1;71.38;67.85;18.55;60.91;185.4;104.07;94.77;61.64;109.92;51.86;67.4;81.95
19.7;46.1;67.56;60.8;16.41;56.47;176.13;100.05;103.41;63.53;106.58;53.5;66.31;79.46
19.8;46.1;62.54;65.05;18.76;50.17;184.58;94.75;81.42;56.24;93.9;52.29;66.9;79.97
19.9;46.1;60.56;69.86;22.7;51.12;165.85;108.83;64.37;55.83;89.41;48.17;60.87;79.42
20;46.1;58.79;70.22;22.9;48.32;152.62;111.8;55.89;57.01;85.11;46.3;57.51;81.11
20.1;46.1;58.02;66.04;21.57;48.16;148.57;111.78;54.94;56.53;81.9;45.94;54.5;80.46
20.2;46.1;58.03;63.89;22.31;46.83;140.88;109.02;56.71;58.86;83.71;44.64;50.84;80.46
20.3;46.1;68.69;62.5;21.74;47.37;54.62;26.09;48.29;83.16;87.39;40.74;49.28;88.08
20.4;46.1;68.52;61.41;21.42;47.4;53.74;19.13;45.76;83.17;85.61;40.37;49.13;88.54
20.5;46.1;68.4;60.06;21.15;47.43;51.78;12.46;42.67;85.39;83.15;39.82;48.99;88.71
20.6;46.1;70.22;58.97;21.32;46.86;143.3;95.08;33.99;93.94;75.4;37.56;46.9;89.25
20.7;46.1;67.97;61.05;22.03;48.69;47.77;10.78;37.33;85.01;76.5;39.55;49.69;88.54
20.8;46.1;66.79;61.84;22.81;49.15;48.51;13.68;37.03;79.85;74.56;40;50.31;88.17
20.9;46.1;64.98;63.62;23.61;48.62;47.49;12.74;38.46;76.78;68.06;40.58;48.01;89.55
21;46.1;64.53;65.08;24.17;48.93;45.33;13.22;38.74;75.66;64.11;41.08;48.26;89.46
19.5;46;70.88;65.07;19.14;65.13;194.48;111.38;75.62;58.21;105.17;52.55;69.04;77.61
19.6;46;69;67.7;20.18;61.76;182.69;112.8;89.12;60.09;103.11;52.63;67.06;77.97
19.7;46;66.32;67.23;20.54;56.79;179.99;113.14;94.87;62.13;95.71;51.82;65.47;76.4
19.8;46;62.56;69.36;22.27;53.06;172.46;118.73;95.66;64.51;90.36;50.7;63.33;77.42
19.9;46;59.14;71.09;22.99;49.14;167.5;122.39;85.34;67.13;86.1;49.74;60.76;77.77
20;46;55.38;70.87;26.29;44.9;152.42;120.15;59.79;62.96;82.49;46.87;56.76;78.6
20.1;46;54.96;72.67;26.55;43.67;145.47;117.36;55.2;60.73;77.51;46.33;53.68;77.78
20.2;46;56.75;64.85;25.87;44.36;141.11;111.97;54.23;57.95;74.97;45.8;50.99;77.19
20.3;46;58.69;60.36;25;43.94;131.87;104.18;61.26;72.79;81.04;43.87;47.71;76.98
20.4;46;69.23;63.14;22.04;47.01;154.02;128.02;49.36;87.07;83.79;40.94;46.14;84.11
20.5;46;69.22;62.09;22.15;47.39;152.8;124.45;47.36;86.55;81.07;40.79;46.19;84.38
20.6;46;68.6;62.1;22.69;47.74;148.43;118.31;42.74;88.05;76.07;40;46.24;84.27
20.7;46;67.43;63.46;23.54;48.48;47.94;21.95;42.08;83.3;73.36;40.46;47.1;84.6
20.8;46;66.67;64.64;24.19;48.87;45.5;20.35;40.43;81.13;69.41;40.45;47.07;84.81
20.9;46;65.99;65.77;24.87;49.26;42.8;18.91;38.8;79.66;65.8;40.08;47.56;84.91
21;46;64.72;67.11;25.45;48.35;40.25;17.2;38.85;78.33;61.09;40.72;46.53;85.56
